jornada,equipo1,equipo2,resultado,inchas,ingresos
1,selvaticas,marsoki,2-1,80-40,60-80
1,rasmni,destellos_verdes,2-1,70-70,80-110
1,invencibles,relampagos_oscuros,2-1,80-70,80-50
2,marsoki,destellos_verdes,1-4,80-80,50-50
2,relampagos_oscuros,rasmni,2-3,80-30,20-60
2,invencibles,selvaticas,1-1,110-60,30-60
3,rasmni,selvaticas,2-4,40-90,x-x
3,marsoki,relampagos_oscuros,0-2,70-100,10-60
3,destellos_verdes,invencibles,2-2,70-100,x-x
4,marsoki,selvaticas,3-1,80-100,20-60
4,relampagos_oscuros,invencibles,3-1,90-70,50-30
4,destellos_verdes,rasmni,1-3,80-70,60-60
5,selvaticas,invencibles,2-3,30-40,50-60
5,rasmni,relampagos_oscuros,4-5,120-60,30-50
5,destellos_verdes,marsoki,3-2,60-80,40-20
6,selvaticas,rasmni,,,
6,relampagos_oscuros,marsoki,,,
6,invencibles,destellos_verdes,,,

